s.no,msg,old_tags
399,Azure DevOps build don&#39;t fail when coverage is below target with dotnet test,"['azure-devops', 'asp.net-core', 'code-coverage', 'azure-pipelines', 'devops']"
400,Error when running SonarQube analysis through Jenkinsfile,"['maven', 'jenkins', 'sonarqube', 'devops']"
401,Azure Devops Pipeline keeps failing NuGetCommand,"['asp.net-core', 'azure', '.net', 'asp.net-mvc', 'devops']"
402,Nginx LDAP authentication ldap_result() failed (-1: Can&#39;t contact LDAP server),"['nginx', 'ldap', 'linux', 'devops', 'reverse-proxy']"
403,Nuget does not restore packages from source control,"['nuget', 'nuget-package-restore', 'devops', 'visual-studio']"
404,Error authenticating with Fortify on Demand. Error: Error: unable to verify the first certificate,"['fortify', 'azure-devops-hosted-agent', 'devops', 'azure-devops']"
405,Azure Devops not finding restored nuget packages,"['azure-devops', 'c#', '.net', 'tfs', 'devops']"
406,JSON syntax for getting personal query ID,"['json', 'tfs', 'devops', 'azure-devops-rest-api']"
407,azure database most significant differences in comparison to aurora mysql (aws manged databse),"['amazon-rds-aurora', 'azure', 'devops', 'azure-devops']"
408,"Build all csproj files, except Test projects","['azure-pipelines-build-task', 'azure-devops', '.net-core', 'azure-pipelines', 'devops']"
409,msbuild GenerateDepsFile fails,"['azure-devops', 'azure-devops-self-hosted-agent', 'devops', 'nuget', 'msbuild']"
410,Azure Pipelines how filter artifacts per stage for &quot;Manual only&quot; triggered Releases,"['azure-pipelines-release-pipeline', 'azure-pipelines', 'devops', 'azure-devops']"
411,Is there a json schema file for Azure Devops Pipelines,"['azure-pipelines', 'devops', 'azure-devops']"
412,How to run consul via kubernetes?,"['kubernetes', 'devops', 'consul']"
413,Invoke-RestMethod : Could not find authentication data on request when send to headers,"['powershell', 'azure-devops', 'post', 'http-headers', 'devops']"
414,Eclipse Ditto enable AMQP 1.0 connection fails,"['eclipse-ditto', 'devops', 'amqp']"
415,Terraform AWS - The requested configuration is currently not supported (status code: 400),"['terraform', 'amazon-web-services', 'devops']"
416,Triggering a build on completion of another build when a Pull Request comes in,"['azure-pipelines', 'devops', 'azure-devops']"
417,How to filter results of an Azure Devops REST API GET request,"['powershell', 'devops', 'azure-devops']"
418,How can the PR builds have independent build number formats compared to CI builds?,"['build', 'pull-request', 'numbers', 'azure', 'devops']"
419,How to get jenkins user along with job and permissions assigned to them through api,"['groovy', 'continuous-integration', 'jenkins', 'devops', 'jenkins-api']"
420,How to unit test mongotemplate functions,"['unit-testing', 'unit testing', 'mongotemplate', 'junit']"
421,Is there Regression Test functionality in Azure DevOps?,"['azure-devops-extensions', 'microsoft-test-manager', 'devops', 'azure-devops']"
422,How to push an Image to container registry of google cloud platform,"['gitlab-ci', 'kubernetes', 'google-cloud-platform', 'devops']"
423,Setting &quot;Allow all pipelines&quot; when creating a service endpoint through DevOps API Create Endpoint,"['azure-devops-rest-api', 'azure', 'devops', 'azure-devops']"
424,tfs is able to connect from RObohelp 2015 but Azure DevOps is unable to connect,"['robohelp', 'devops']"
425,Sanity check on reflexive docker Image building?,"['docker', 'devops']"
426,Unmet dependecies during OSM installation,"['package-management', 'dependencies', 'ubuntu-16.04', 'devops']"
427,pod stuck in pending state after kubectl apply?,"['kubernetes', 'ubuntu', 'docker', 'devops']"
428,How to get the GraphUserPrincipalNameCreationContext for an AAD user?,"['python', 'azure-devops', 'graph', 'client', 'api', 'devops']"
429,How to handle git push to DEV branch automatically using configuration or some scripts,"['repository', 'azure-devops', 'azure', 'git', 'github', 'devops']"
430,How do I display a DevOps Dashboard on a TV?,"['devops', 'azure-devops']"
431,Can I add a Team (i.e. [Team Name]\Team) to the Project Collection Adminstrator group in DevOps?,"['permissions', 'azure-devops', 'admin', 'security', 'project', 'devops']"
432,Automatically promote a nuget packge using a relese definition,"['azure-devops-server-2019', 'nuget', 'azure-artifacts', 'azure-pipelines', 'devops']"
433,How do I perform a release off a build that is based on a git tag and not a branch?,"['azure-pipelines-release-pipeline', 'azure-pipelines', 'devops', 'azure-devops']"
434,How to write a python script to authenticate to Azure DevOps REST API and get the access token?,"['python', 'azure-devops', 'azure-devops-rest-api', 'api', 'devops']"
435,How to add a user to Azure DevOps using it&#39;s python client API?,"['python', 'azure-devops', 'azure-devops-rest-api', 'client', 'api', 'devops']"
436,Problem runing Angular Test In Azure DevOps Pipeline,"['azure-devops', 'angular7', 'karma-jasmine', 'karma-runner', 'devops']"
437,Reverse Proxy from httpd site to shared hosted wordpress blog,"['httpd.conf', 'wordpress', 'devops', 'apache2']"
438,Cache in clustered environment - Read Cache every microsecond and update it every 50 minutes,"['performance', 'cluster-computing', 'oauth-2.0', 'java', 'caching']"
439,Azure Functions message receive issue,"['azure', 'azureservicebus', 'azure-functions', 'azure-servicebus-topics', 'devops']"
440,terraform_remote_state data block syntax,"['infrastructure-as-a-code', 'terraform', 'terraform0.12+', 'devops']"
441,"How to find commit hash(s) / developer(s), date etc for a &quot;given line&quot; change in a file","['version-control', 'mercurial', 'git', 'devops', 'dvcs']"
442,Yaml step has invalid name,"['yaml', 'azure-pipelines', 'devops', 'azure-devops']"
443,Error during Lambda creation in Azure DevOps,"['devops', 'azure-devops']"
444,Update build reference for test result in Azure DevOps REST API,"['azure-devops-rest-api', 'azure-devops', 'devops', 'c#']"
445,Is there a way to customize the notification I get in Microsoft Teams?,"['microsoft-teams', 'devops', 'azure-devops']"
446,Test Manager Extension says it is not installed on the organization,"['microsoft-test-manager', 'devops', 'azure-devops']"
447,How can I integrate ruby with azure-devops to automatically generate work items on my project?,"['azure-devops', 'ruby', 'azure-devops-rest-api', 'rubygems', 'devops']"
448,SonarQube docker image does not run successfully under App Service ACI,"['sonarqube', 'azure-devops', 'connection-timeout', 'docker', 'sql-server', 'devops']"
449,Sub-project in Azure DevOps,"['devops', 'azure-devops']"
450,Azure DevOps Git Granular Trigger Build for Continuous Integration &amp; Delivery,"['azure-devops', 'continuous-deployment', 'git', 'continuous-integration', 'devops']"
451,DevOps Server 2019.0.1 (Azure DevOps Error - TF30063: You are not authorized to access tfs.),"['azure-devops-server-2019', 'azure-devops-server', 'tfs', 'devops']"
452,Copying files task as a specific user Azure DevOps,"['powershell', 'azure-devops', 'powershell-v2.0', 'file-copying', 'devops']"
453,Azure Build pipeline : checkout task done from scratch at each source update,"['azure-pipelines', 'devops', 'azure-devops']"
454,Files Transform : EPERM: operation not permitted in Azure DevOps,"['azure-devops', 'azure', 'autodeploy', 'continuous-integration', 'devops']"
455,How to stop looping a sound in android?,"['android', 'android-studio', 'java']"
456,Using a char value in an integer array or vice versa,"['types', 'java', 'arrays']"
457,I have few items on dashboard suppose department and if any user clicks,"['java', 'spring']"
458,Cucumber Java with Selenium - Reuse and concat Login feature with other features,"['gherkin', 'cucumber', 'selenium-webdriver', 'java', 'bdd']"
459,I want to create gui to visualize robot motion but I cant make the robot body,"['robotics', 'user-interface', 'java', 'graphical-interaction']"
460,I don&#39;t understand the error. (android build error cordova),"['cordova', 'java', 'gradle']"
461,How does the javafx fxml method add active visible events to the current interface?,"['javafx', 'fxml', 'java']"
462,Setting an class attribute from child&#39;s class attributes when creating the object in Java,"['polymorphism', 'java', 'inheritance']"
463,Why android app takes too long to load and it is empty,"['android', 'android-studio', 'java']"
464,Count frecuency of distinct objects and return a Map,"['stream', 'java', 'java-stream']"
465,how to do projection in spring-data-jpa,"['jpa', 'spring-data-jpa', 'java']"
466,How to fix &quot;Exception in thread &quot;AWT-EventQueue-0&quot; java.lang.NullPointerException&quot;?,"['java', 'oop']"
467,Netty NIO android client,"['netty', 'android', 'java']"
468,Jackson polymorphism using EXTERNAL_PROPERTY not working with kotlin default value,"['jackson', 'spring-boot', 'java', 'kotlin', 'spring']"
469,How to return the number of elements in a linkedlist,"['stack', 'java', 'element', 'linked-list']"
470,Unable to create a JOIN using Spring Data JPA,"['jpa', 'spring-data', 'java']"
471,Import cannot be resolved -,"['maven', 'import', 'java']"
472,How to send intents into gameView,"['android', 'java', 'android-intent']"
473,Java API for SSO CA Siteminder,"['node.js', 'ca', 'java', 'javascript', 'single-sign-on']"
474,Check if elements in first row in 2d array are the same,"['2d', 'java', 'element', 'arrays']"
475,return list of hashmap keys after sorting?,"['java', 'lambda', 'dictionary']"
476,How to use inputs and post method,"['servlets', 'java-web-start', 'java']"
477,different log files for each main class in a project,"['java', 'log4j']"
478,How do I fix &quot;call to super must be first statement in constructor&quot;?,['java']
479,Why does -1&lt;&lt;32 equal -1 instead of 0 in java?,"['java', 'bitwise-operators']"
480,Navigating nested un-named iframes with selenium webdriver switchTo(),"['iframe', 'browser-automation', 'selenium-webdriver', 'java', 'selenium']"
481,Exporting data of a query in java to CSV file,"['jtable', 'export-to-csv', 'java', 'export', 'jquery-jtable']"
482,Problems with search,"['hashmap', 'search', 'java']"
483,Split String from Serial Port in Java,"['split', 'string', 'java', 'serial-port']"
484,3DES encryption difers from C (Openssl) and Java,"['3des', 'c', 'java', 'openssl']"
485,How to notify the main thread when another completed an action,"['multithreading', 'java']"
486,How can i fix null pointer exception in Firebase Authentication?,"['firebase-authentication', 'android', 'java', 'firebase']"
487,onJoin event not replacing lastPlayer,"['eclipse', 'java', 'plugins', 'bukkit']"
488,MacOS Jar Launcher not opening .jar files,"['macos-mojave', 'java', 'jar', 'launcher']"
489,Spring boot - mysql messages,"['spring-boot', 'java', 'mysql', 'spring']"
490,How to draw a graph from a grid,"['nodes', 'graph', 'java', 'grid']"
491,How can i create a new file and put some user defined integers(Using Scanner class) and then read it?,"['filereader', 'java', 'oop']"
492,Having trouble printing out an encoded message with an offset entered by the user,"['eclipse', 'java']"
493,Error with showing data from Firebase in Listview,"['firebase-realtime-database', 'listview', 'java', 'firebase', 'android']"
494,Code coverage marks else lines as not covered,"['rust', 'travis ci', 'code-coverage', 'travis-ci']"
495,How to select some days as Effective Days from Enum day list from in Java or Spring,"['dayofweek', 'java', 'spring']"
496,What are the differences between Kotlin class properties and Java class fields,"['properties', 'field', 'java', 'kotlin']"
497,Selenium MoveTargetOutOfBoundsException even after scrolling to element,"['selenium', 'java']"
498,how to fix error &quot;Only the original thread that created a view hierarchy can touch its views.&quot;,"['android', 'android-studio', 'java']"
499,Automatically deploy .war to Tomcat on source/webcontent modifications in vscode,"['tomcat', 'visual-studio-code', 'java', 'maven', 'eclipse']"
500,Instanceof in multicatch,"['instanceof', 'multi-catch', 'java']"
501,Is there an in memory messaging broker for functional testing of RabbitMq?,"['testing', 'functional-testing', 'java', 'rabbitmq', 'spring']"
502,while-loop of Runnable triggers as soon as I set a breakpoint on it,"['runnable', 'debugging', 'java', 'breakpoints', 'multithreading']"
503,How do I rotate a matrix 90 degrees counterclockwise in java?,"['rotation', 'matrix', 'java']"
504,Output of Runge-Kutta get smaller as the timestep is reduced,"['debugging', 'runge-kutta', 'ode', 'java']"
505,How to add a comma after each byte read from a file and write the byte and the comma to another file?,"['io', 'java']"
506,"Libgdx&#39;s OrthogonalTiledMapRenderer doesn&#39;t render TileMap at (0, 0)","['game-engine', 'java', 'libgdx']"
507,how to get multiple values from textfield inside a for loop and recive it in an array,"['loops', 'arrays', 'for-loop', 'java', 'textfield']"
508,Calculate Average of 5 numbers,"['algorithm', 'calculation', 'java', 'average']"
509,Write-through cache Redis,"['redis', 'java', 'caching', 'apache-kafka']"
510,Why DC voltage can&#39;t be generated at audio port of a smartphone using AudioTrack library?,"['adc', 'audio', 'digital-analog-converter', 'java', 'android']"
511,Getting &#39;null object reference&#39; error when trying to create TextView objects in java,"['list', 'arraylist', 'java', 'android', 'textview']"
512,JasperViewer Problems with marge while viewing report,"['jasper-reports', 'netbeans-8', 'java', 'ireport']"
513,Invoking protected methods in extended class through a variable,"['java', 'inheritance']"
514,How do I get a string from a html form and pass it to a post method in spring boot?,"['intellij-idea', 'java', 'thymeleaf', 'spring-boot']"
515,AudioFocusChangeListener on API O not working,"['android', 'java']"
516,"When the output stream is being closed in the servlets,does it mean the socket connection is being closed as well?","['tomcat', 'java-ee', 'java', 'sockets', 'servlets']"
517,SPI (Service Provider Interface / ServiceLoader class) vs Spring IoC (ApplicationContext interface),"['inversion-of-control', 'java-ee', 'java', 'spi', 'spring']"
518,Monte-Carlo parallel method taking over 1000 seconds,['java']
519,how to i fix this empty OTP edit text error?,"['android', 'java', 'firebase']"
520,Connect to minecraft server using Java,"['client', 'minecraft', 'java']"
521,How to create effective BDD Feature file and step implentation in Java Cucumber,"['datetime', 'java', 'cucumber-jvm', 'bdd', 'spring']"
522,"What are modern industry solutions for Spring Boot user authentication with providers like Facebook, Twitter, Google, LinkedIn and etc?","['oauth-2.0', 'spring-social', 'spring-security', 'java', 'spring-boot']"
523,How to escape the apostrophe in Java?,"['sqlite', 'android', 'java', 'cursor']"
524,remove/change a specific element class attribute value using selenium,"['css-selectors', 'html', 'selenium-webdriver', 'java', 'selenium']"
525,how to include and use google maps geometry library in google maps java client?,"['google-maps', 'google-maps-api-3', 'java']"
526,Why does the code not work in this instance?,"['algorithm', 'java']"
527,How to pass vector type to kernel with javacl,"['opencl', 'java']"
528,Could not create connection to database server after multiple successful connections,"['jdbc', 'java', 'mysql']"
529,My code doesn&#39;t terminate after calling the garbage collector,"['out-of-memory', 'java', 'garbage-collection']"
530,Apache POI EncryptedDocumentException cannot be resolved,"['maven', 'eclipse', 'java', 'apache-poi']"
531,Sort JSONArray with single for loop,"['json', 'java']"
532,Java predicate chaining with nested object,"['chaining', 'predicate', 'java-8', 'java']"
533,android studio error after run application,"['json', 'android-studio', 'java']"
534,display elements horizontally thymeleaf,"['css', 'java', 'thymeleaf']"
535,Stream map() signature and generics,"['generics', 'java']"
536,How to utilize AsyncTask in android Studio for handling asynchronous RestRequests,"['android-asynctask', 'android-studio', 'java']"
537,Getting exception java.lang.ClassNotFoundException: org.openqa.selenium.MutableCapabilities when launching browser through Selenium,"['selenium-webdriver', 'java', 'maven', 'selenium-chromedriver', 'selenium']"
538,Reading 50000 long from a file and insert it into BST leads to StackOverflowError,"['data-structures', 'java']"
539,Java - java.lang.UnsupportedClassVersionError when running JAR file,"['version', 'sdk', 'java']"
540,Why i can&#39;t call variable in outside class,"['android', 'java']"
541,What NOT to hard-code in an Android Application,"['connection-string', 'security', 'api', 'java', 'android']"
542,converting a java method to kotln. Return a lambda expression,"['java', 'kotlin']"
543,How to replace exception handling structure,"['spring-security', 'java', 'spring-boot']"
544,MVVM in Java without changing the model (with its business logic),"['model-view-controller', 'javafx', 'fxml', 'mvvm', 'java']"
545,XMLHttpRequest - I have problem when REST API returns JSON object and not array of object,"['json', 'javascript', 'java', 'rest']"
546,"RecycleView error: items are being duplicated, how to fix it?","['android', 'java', 'android-recyclerview']"
547,Using Liquibase in multi module project,"['multi-module', 'liquibase', 'java', 'spring-boot']"
548,Can&#39;t fix an Error: Cannot resolve symbol &#39;OnClickListener&#39;,"['android', 'java']"
549,&lt;p:graphicImage src not found 404,"['jsf-2', 'primefaces', 'java', 'maven', 'eclipse']"
550,How to fix NullPointerException error when scanning input in for loop,"['string', 'nullpointerexception', 'for-loop', 'java', 'java.util.scanner']"
551,Replace Dash and Space in a single statement,"['regex', 'java']"
552,Mongodb java driver get result as string not bson object,"['mongodb', 'java']"
553,Why is the following code able to call an abstract method without implementing it?,"['abstract', 'java']"
554,My android studio is installing two apps/apks on my phone,"['android-studio', 'git', 'java', 'github', 'android']"
555,How to make checkbox/slider persistent?,"['persistence', 'android', 'java', 'android-sqlite']"
556,smaller program to take click input of mouse from multiple jLabel,"['actionevent', 'jlabel', 'netbeans', 'netbeans-8', 'java']"
557,how to accept gziped json request in springboots,"['request', 'gzip', 'json', 'java', 'spring-boot']"
558,"Is there a way to implements Google libraries like Maps, TextToSpech, etc?","['javafxports', 'android', 'gluon-mobile', 'java']"
559,Trigger Spinner event when selection does not change,"['android', 'android-spinner', 'java', 'kotlin']"
560,"Using DefaultEditorKit for Copy,Paste,Cut actions in JEditorPane",['java']
561,how to let a selfimplemented compiler recognize parentheses &quot;()&quot;,"['compiler-construction', 'java', 'parentheses', 'lexer']"
562,Create a cumulative array with float,"['android', 'arraylist', 'java', 'mpandroidchart']"
563,How to use onChildMoved in Firebase?,"['android', 'java', 'firebase']"
564,How to add audio effects to a MediaPlayer,"['android-mediaplayer', 'android', 'java']"
565,"Adding list/array element in for loop, java12","['eclipse', 'for-loop', 'arraylist', 'java']"
566,How does this code form a z-shape with for loops?,"['for-loop', 'java']"
567,"When removing a node, why isn&#39;t it necessary to set that node&#39;s next to null?","['singly-linked-list', 'java', 'linked-list']"
568,Java Sorting in Descending order,"['alphanumeric', 'sorting', 'java-8', 'java']"
569,how to dispatch requests in spring mvc base request parameters before it get&#39;s to dispatcher servlet?,"['spring-mvc', 'java']"
570,Issue with environment variables JAVA and Android for using cordova (Linux 16.04),"['cordova', 'android', 'java', 'environment-variables']"
571,HTTP Rest Client is failing sometimes with sun.security.validator.ValidatorException: PKIX path building failed,"['ssl', 'rest', 'java', 'http']"
572,Can&#39;t insert values into table in Sqlite relational database,"['database', 'sqlite', 'java', 'rdbms']"
573,hibernate/jpa metamodel classes do not include all fields,"['jpa', 'java', 'hibernate']"
574,System.out.println is not proposed in IntelliJ IDEA,"['intellij-idea', 'java']"
575,how to fix Nullpointerexception in setOnclicklistener,"['android', 'java', 'nullpointerexception']"
576,Android Studio throwing the Error when trying to create a new project in android,['java']
577,How to use ivshmem-plain in libvirt xml?,"['python', 'ubuntu']"
578,How to wrap a string with an html tag without it being escaped?,"['java', 'jsoup']"
579,How to make a TextField fill all the remaining width of a pane containing multiple nodes?,"['javafx', 'java']"
580,configuring the correct return type of a method as java 8,"['java-8', 'java']"
581,How to check if Mapbox SymbolClickListener registers my click?,"['mapbox-android', 'android', 'java', 'mapbox']"
582,Spring testing mocking findById not working,"['testing', 'mocking', 'java', 'spring-boot', 'spring']"
583,How do javafx multithreading execute sequentially?,"['javafx', 'multithreading', 'java']"
584,How to fetch a row in which one field contains a certain word?,"['postgresql', 'spring-data', 'spring-data-jpa', 'java', 'spring']"
585,Plz help me to overcome,"['steelseries', 'java', 'gauge', 'netbeans']"
586,What does this code mean: for (Option op: mOptionList.values()){},['java']
587,Problem querying Postgres DB with Apache Calcite Java library,"['postgresql', 'java', 'apache-calcite']"
588,java.lang.NullPointerException: Attempt to invoke interface method &#39;java.lang.Object java.util.List.get(int)&#39;,"['android', 'java', 'retrofit']"
589,hibernate - Why do i need to put child into parent collection before saving entites,"['java', 'hibernate']"
590,Appache web server won&#39;t start,"['ubuntu', 'apache']"
591,JavaFX Drawing multiple lines on canvas,"['javafx', 'canvas', 'java']"
592,Cannot hit break point in java app when running the whole junit integration test class,"['maven', 'intellij-idea', 'java']"
593,Disconnected when send request to SignalR server,"['android', 'java', 'c#']"
594,"Play/Pause other music apps, when my app playing music","['android', 'exoplayer2.x', 'audio-player', 'java']"
595,Exposing RPC endpoints of Application Instances in Apache Kafka,"['java', 'apache-kafka']"
596,Use json-server to mock tests with Jest on Travis,"['travis ci', 'jestjs', 'travis-ci', 'json-server']"
597,My code isn&#39;t displaying the required result for kaprekar number,"['numbers', 'java']"
598,How to include JavaFX Chart into existing GUI?,"['javafx', 'user-interface', 'swing', 'java', 'charts']"
599,Can&#39;t move with animation an imageview to another child view,"['android', 'java']"
600,(build-&gt;artifacts) -&gt;application.exe with multiple selection in windows for each file opens a new window,"['javafx', 'java']"
601,"When the application starts, it crashes","['android-layout', 'android', 'java', 'firebase']"
602,Javax validation - how to order default and custom annotations?,"['java', 'spring']"
603,Springboot paypal checkout fails after a day,"['paypal', 'java', 'spring-boot']"
604,How to convert a message mqtt to a float value?,"['android', 'java']"
605,i&#39;m trying to implement this libraire but and i didn&#39;t find how i fix this error,"['android', 'java', 'gradle', 'kotlin']"
606,Using SharedPreferences in Android Things,"['android-things', 'java', 'sharedpreferences']"
607,Error executing tests in Travis CI with JaCoCo,"['jacoco', 'travis-ci', 'java', 'maven', 'travis ci']"
608,"Gradle tests fail locally, but succeed on CI servers","['gradle', 'junit', 'continuous-integration', 'java', 'travis ci']"
609,Using Multiple Operating Systems with Ruby and Shell in a Matrix with Travis CI,"['ruby', 'travis-ci', 'rvm', 'windows', 'linux', 'travis ci']"
610,Spring Boot Test Fails on Travis CLI with an exception: com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure,"['travis-ci', 'java', 'spring-boot', 'travis ci', 'spring']"
611,Travis CI SonarCloud - How to choose what quality profile to be enabled?,"['sonarqube', 'sonarscanner', 'ruby', 'travis-ci', 'travis ci', 'sonarcloud']"
612,docker login failed in travis ci,"['travis-ci', 'travis ci', 'docker']"
613,sign in to iTunes Connect Error on Travis CI,"['macos-mojave', 'notarize', 'travis-ci', 'application-loader', 'itunesconnect', 'travis ci']"
614,How to fix this Travis CI error that builds fine locally,"['xcode', 'travis ci', 'travis-ci']"
615,Install PyQt5 with Python 3.4 on Travis CI,"['travis-ci', 'travis ci', 'python-3.4', 'pyqt5']"
616,Control Python verbosity / log handler level in travis to mitigate errors due to exceeding log file size,"['python', 'travis ci', 'logging', 'travis-ci']"
617,Travis CI fail with oraclejdk10,"['scala', 'travis-ci', 'java', 'github', 'travis ci']"
618,React App + Docker + Bitbucket Pipelines to Elastic Beanstalk,"['travis ci', 'amazon-elastic-beanstalk', 'docker', 'bitbucket-pipelines']"
619,Travis CI build failing with JUnit 5,"['junit5', 'travis-ci', 'java', 'maven', 'travis ci']"
620,What can break an android build without code changes?,"['android', 'react-native', 'java', 'travis ci', 'google-play-services']"
621,Ordering parallel build jobs in Travis CI,"['travis ci', 'travis-ci']"
622,Clang 6 on travis breaks due to libjsoncpp0,"['clang', 'travis ci', 'travis-ci']"
623,Travis CI not finding python3 on macOS,"['python', 'cmake', 'python-3.x', 'travis-ci', 'travis ci', 'macos']"
624,Use AWS CDK to spin up pull request review apps in Fargate?,"['travis ci', 'aws-fargate', 'aws-cdk']"
625,Cannot reproduce my travis-ci unsatisfiable requirements julia error locally,"['package', 'julia', 'travis-ci', 'unit-testing', 'travis ci']"
626,Docker and travis ci faling on build,"['docker-compose', 'travis-ci', 'docker', 'continuous-integration', 'travis ci']"
627,How to supply user input programmatically to an interactive function in R (specifically in the totalcensus package),"['user-input', 'interactive', 'census', 'r', 'travis ci']"
628,Issue with &quot;No Staging repository found&quot; in sonatype publish,"['sonatype', 'sbt', 'scala', 'sbt-sonatype', 'sbt-release', 'travis ci']"
629,Variable Not Accessible Travis CI,"['travis-ci', 'travis ci', 'environment-variables', 'github']"
630,Detox Async callback was not invoked (Timeout) only on TravisCI,"['detox', 'react-native', 'travis-ci', 'jestjs', 'travis ci']"
631,What is the relationship and difference between tox and Travis-CI?,"['python', 'tox', 'testing', 'travis-ci', 'continuous-integration', 'travis ci']"
632,Why is my Travis CI build failing with &quot;File Not Found&quot; errors when those files exist?,"['pytest', 'travis ci', 'travis-ci']"
633,How to fix SEGSEGV with recent kernel and seccomp,"['ptrace', 'seccomp', 'travis ci', 'linux', 'c']"
634,Codesign on travis hangs build,"['keychain', 'travis-ci', 'codesign', 'macos-mojave', 'travis ci']"
635,Installing specific R package from specific branch from github repo on travis-ci,"['package', 'branch', 'travis-ci', 'github', 'r', 'travis ci']"
636,Parsing error: Unexpected token =&gt; with Linter(Travis CI),"['travis ci', 'linter', 'javascript', 'bcrypt']"
637,Build apk in Travis CI failed for &quot;Instrumentation failed&quot;,"['travis-ci', 'travis ci', 'android']"
638,Travis CI: Publishing only passing tag versions for php composer package,"['travis-ci', 'continuous-integration', 'php', 'packagist', 'travis ci', 'composer-php']"
639,How to analyze Git submodules using SonarCloud?,"['travis-ci', 'github', 'maven', 'travis ci', 'sonarcloud']"
640,Docker Swarm Setup on Travis CI,"['docker-compose', 'token', 'swarm', 'docker', 'travis ci']"
641,Unable to install packages via pip due to enum34 package,"['python', 'travis-ci', 'travis ci', 'pip']"
642,How to prevent Travis-CI from executing the script if PR and anything else than master,"['travis-ci', 'travis ci', 'git', 'github']"
643,How to read the events from ansible runner programatically,"['python', 'ansible', 'ansible-runner', 'django', 'travis ci']"
644,Write Travis script for flask socket.io and node,"['python', 'flask-socketio', 'flask', 'travis-ci', 'travis ci']"
645,restore influxdb backup inside travis-CI failed with an error: restore: open /var/lib/influxdb/meta/node.json: no such file or directory,"['restore', 'backup', 'travis-ci', 'java', 'travis ci', 'influxdb']"
646,javadoc fail when using jdk12 to build language-level 9 javadoc,"['maven-3', 'java-12', 'java', 'maven', 'travis ci', 'java-9']"
647,Travis CI connection error accessing docker container running REST API on port 8080,"['docker-compose', 'travis-ci', 'docker', 'newman', 'postman', 'travis ci']"
648,Are conda dependencies platform independent?,"['python', 'testing', 'conda', 'travis-ci', 'travis ci']"
649,Add just one row to the build matrix on Travis CI based on env variable not working?,"['node.js', 'travis ci', 'travis-ci']"
650,S3 Bad request Error during deployment to aws with travis ci .../resource.rb:134:in `rescue in exists?&#39;: Aws::S3::Errors::BadRequest,"['amazon-s3', 'travis ci', 'amazon-elastic-beanstalk', 'travis-ci']"
651,How to resolve the &quot;psycopg2.errors.UndefinedTable: relation &quot;auth_user&quot; does not exist&quot; when running django unittests on Travis,"['python-3.x', 'psycopg2', 'postgresql', 'travis-ci', 'django', 'travis ci']"
652,Workaround to allow badges in package README.md on github but not in CRAN version,"['r', 'travis ci', 'cran', 'r-package']"
653,Travis exit with 65 code and fails to create a bundle instance,"['xcodebuild', 'ios', 'travis-ci', 'continuous-integration', 'travis ci']"
654,Error: Required package curl not found. Please run: install.packages(&#39;curl&#39;) Execution halted on Travis CI,"['ubuntu', 'cran', 'travis-ci', 'r', 'travis ci', 'devops']"
655,Run coverage on tests directory via Travis-CI,"['python', 'travis-ci', 'pytest', 'code-coverage', 'coverage.py', 'travis ci']"
656,How to define args inside a .travis.yml?,"['node.js', 'travis ci', 'travis-ci']"
657,Is there a mode for aspell to never delete words from a custom dictionary?,"['travis ci', 'aspell']"
658,"PHP 7.2 on 2x Travis CI instances, one with extension and one without","['travis-ci', 'travis ci', 'php']"
659,Event-driven Travis build,"['continuous-integration', 'travis ci', 'travis-ci', 'events']"
660,How to I configure my .travis.yml file to run the script for building image which is already included as a .sh file in the repositiry,"['travis-ci', 'docker', 'bash', 'travis ci', 'devops']"
661,Build Fails With Spread Operator on Travis CI Only,"['babel', 'npm', 'travis ci', 'javascript', 'create-react-app']"
662,Commits not uploaded to codecov,"['python', 'codecov', 'travis-ci', 'continuous-integration', 'travis ci', 'automated-tests']"
663,Install program on Azure Pipelines,"['travis ci', 'azure-pipelines', 'azure']"
664,Travis CI install boost from source log limitation error,"['travis-ci', 'c++', 'travis ci', 'linux', 'boost']"
665,Pipreqs includes my own .py files as dependencies,"['python', 'travis ci', 'pip']"
666,QApplication instance/qtbot fixture causes travis-ci to abort and core dump,"['travis-ci', 'pytest-qt', 'pytest', 'python-3.6', 'pyside2', 'travis ci']"
667,How to restrict build failure emails to only a specific branch in travis CI?,"['build', 'travis ci', 'travis-ci', 'github']"
668,Travis CI not working for bookdown when using tikz environement,"['travis-ci', 'bookdown', 'r', 'travis ci', 'tikz']"
669,Travis-CI does not publish doxygen file-level documentation,"['doxygen', 'github-pages', 'travis-ci', 'github', 'travis ci']"
670,Conditional Maven build command on Travis CI using Regex,"['build', 'regex', 'travis-ci', 'github', 'maven', 'travis ci']"
671,How can we make the README travis-ci badges point to different locations in individual repos?,"['travis ci', 'readme', 'travis-ci', 'github']"
672,Is there an alternative to using pynput to emulate Alt-F4 to completely close a terminal window?,"['python', 'pynput', 'travis ci', 'terminal']"
673,"Spec are failing on Travis Ci, and are green locally","['rspec', 'travis-ci', 'travis ci', 'ruby-on-rails']"
674,Using Travis Ci with GitHub Pages Error: gh-token is invalid,"['github-pages', 'travis ci', 'travis-ci', 'continuous-integration']"
