s.no,text,stanford_sentiment,stanford_qa
276,or maybe I just got the name of the space wrong? Don't know why I had that address though!,unpredcitable,Q
277,It did change at one point. I got the address from this page earlier today,neutral,unpredcitable
278,Great!,neutral,unpredcitable
279,Thanks again to the organizers and attendees! Looking forward to more meetups!,positive,unpredcitable
280,Definite go!,neutral,unpredcitable
281,"aha, I see. I did miss the email with the change in venue. I see it now. Sad face.",negative,unpredcitable
282,"I'm so sorry for the confusion, Jamie. If I can get you a drink or coffee to make it up to you, please let me know. :(",negative,unpredcitable
283,"Thanks so much for attending last night! If you did miss it, the wonderful Yury Lifshits created a document that outlines what we discussed. Check it out here: https://docs.google.com/document/d/1gycuWF4Ods0Mfns5642tw3vgL63cxNtU8IP57hk8xdY/edit",positive,Q
284,Thank you Meg.,neutral,unpredcitable
285,Thank you Dr.Tim,neutral,unpredcitable
286,"When you arrive, look out for signs for the Meteor Meetup to find us!",neutral,Q
287,"If anyone is interested in my slide deck for scaling apps, HERE THEY ARE!!

https://docs.google.com/presentation/d/1Rc_VVMf1TQShvj6YdunkI4g_y7eX80fbicHmh7rJvDA",neutral,Q
288,😥,neutral,unpredcitable
289,Is anyone at La Serina?,neutral,Q
290,"Thanks for note. This was oversight, should be fixed now.",neutral,unpredcitable
291,"Registration is closed now. We're over capacity as it is, but the videos will be posted on the SFHTML5 YouTube channel tonight.",negative,unpredcitable
292,This looks like a great lineup! Still on crutches and will have to view the recording online. Have a great weekend!,positive,unpredcitable
293,Hope it heals quickly,neutral,unpredcitable
294,"Great talks!  If anyone wants to connect on LinkedIn, I'm at https://www.linkedin.com/in/recursive-rich/",positive,unpredcitable
295,looking forward!,neutral,unpredcitable
296,"GDG Berkeley would like to thank once again our amazing speakers Igor Franca and Eric Wendel for coming all the way from Brazil to present their cool and informative talks! You two are welcome to our community always!

Don’t forget that anyone can sign up to present a technical topic they are passionate about, to share knowledge and exchange ideas!",negative,unpredcitable
297,Link to event bright?,positive,Q
298,Is this a good event for asking peers for help integrating an app with Google Play Services?,positive,Q
299,"I'm inclined to say no, not that I'd tell you that you can't/shouldn't. We just normally don't handle mobile text, so I couldn't speak to the strength of our members.",,
300,Any update on Venue? Hopefully in SF.,neutral,Q
301,The complete playlist is now on YouTube at https://bit.ly/beyond-static-sites,negative,unpredcitable
302,Awesome!,positive,unpredcitable
303,HTML5 Meetup never let me down.  Thanks Vanessa and Peter for hosting this great Meetup!,negative,unpredcitable
304,"Brilliant speakers, really interesting topics!",positive,unpredcitable
305,"Thanks for having us!

For more info on Code for Good Week you can follow:
https://twitter.com/CodeForGoodWeek
The deadline for projects is Monday, May 15th!

Here's the link for my slides:
https://slides.com/verythorough/post-monolithic-cms

I also forgot to mention one of my other passions: web accessibility. Next Thursday is Global Accessibility Awareness Day, and Tuesday's JAMstack SF meetup is taking an a11y theme. I hope you can join us!
https://www.meetup.com/jamstack-sf/events/239577043/",negative,unpredcitable
306,I also just remembered my favorite pirate joke:,negative,Q
307,"What did the pirate say on his 80th birthday?

Aye matey!
(You've gotta say it to get it...) XD",unpredcitable,Q
308,Opened my eyes to JamStack,neutral,unpredcitable
309,"Prior to the talks, I hadn't given much consideration to static sites. This presentation changed my mind. Great job.",positive,unpredcitable
310,Fabulous.,neutral,unpredcitable
311,"Knowledgeable people at a fabulous quality venue. My first Meetup was a month ago in a different city, similarly qualitastic venue there. Both involving bridges.",positive,unpredcitable
312,"(Sydney Harbour Bridge, and SF Bay Bridge)",negative,unpredcitable
313,Thanks so much. Great talks. Great venue. Great topic. Thoroughly enjoyed the whole damn thing. ... Even the pirate jokes.,neutral,Q
314,"beyond interesting, morelikeit",positive,unpredcitable
315,Quite perfectly run - as always!,positive,unpredcitable
316,I wish I can be there but I am now in Seattle..Have fun guy and learn a lot..best wishes Daniel and Vivi from Seattle WA,negative,unpredcitable
317,"Leo, Catapult has it's own entrance to the left of the main entrance if approaching from parking lot...",neutral,unpredcitable
318,"No, you will have to find street parking or a garage in the local area.",negative,unpredcitable
319,Can we park in the salesforce parking lot?,neutral,Q
320,NP,neutral,unpredcitable
321,"Is the video feed live, or is it a recording available sometime after the event?  If the latter, when should we check back to watch it? Thanks!",neutral,Q
322,"The recordings of all the talks will be posted shortly after the event, both here (in the comments) and posted on Twitter @sfhtml5.",negative,unpredcitable
323,Awesome! Thanks Vanessa!,positive,unpredcitable
324,Hi there. I never received an email on the raffle ticket I got for the ForwardJS conference. Email is [masked]. I 'm 90% positive the ticket ended in 542 if that helps.,negative,unpredcitable
325,"Hi Tim, Can you send us an email at sfhtml5 at gmail dot com.",negative,unpredcitable
326,Great! Very informative and invigorating.,neutral,unpredcitable
327,Awesome!,positive,unpredcitable
328,"Such a great event, thank you SFHTML5 organizers and talented speakers, sponsors, winemaker, mixologist, DJ, and most gracious host Google. Best way to spend a Friday night ~ geeking out on SVG animation, GreenSock Animation Platform, and Responsive Image techniques... nerdcore FTW! Many great take-aways and little gems of knowledge and shared experiences, much appreciated.",positive,unpredcitable
329,"For all who were asking about the Performance Alphabet slides/deck w/ links to resources, here it is: http://www.afast.site/2017/02/27/thank-you-sfhtml5-performance-alphabet-slides/ 

Thank you for having me. Had such a great time. Feel free to tweet me if you have any q?s @HenriHelvetica. 

cheers!",neutral,Q
330,"ETA: Mon/Tue next week, sorry for the delay.",negative,unpredcitable
331,Awesome event with an interesting speaker and great people!,neutral,unpredcitable
332,"Hey Code Lakeland! 
Please notice we've changed the time for our next meetup, we're starting and ending a bit later. Also, we're working on a topic at the moment and we will post it as soon as possible. Thanks!",positive,unpredcitable
333,Thanks again to everyone who organized the meetup. Excited to see this community grow,positive,unpredcitable
334,"Hi everyone!

Unfortunately, due to a last minute scheduling conflict, we're having to push the presentation from Voce Communications on The Power of Wordpress to next month. If anyone would like to do a presentation on Thursday night, please let me know ASAP. 

At the very least, we'll still be able to hang out and network for a bit! There will also be some light refreshments and food.

Hope to see you Thursday!",negative,unpredcitable
335,"@pavan ?
I want to attend from second week, wherein tensorflow is discussed. Was wondering if I could jump in!",negative,unpredcitable
336,I think @pavan can confirm tat for you.... Im not sure abt the process being followed this time around....,neutral,unpredcitable
337,"https://github.com/MichaelSolati/funWithMaps
michael@checkmatecreations.com",neutral,unpredcitable
338,"Thanks for hosting Carrie. This event was very helpful. I also added some of my own takeaways under ""Discussion"" in this Meetup group.",negative,unpredcitable
339,A whole bunch are heading there now,neutral,unpredcitable
340,"We're going to stream today's event on YouTube

https://youtu.be/rTagTVUSCrc",neutral,unpredcitable
341,I don't think the question submission form is working.,neutral,unpredcitable
342,"Nope, feel free to just show up",positive,unpredcitable
343,"The talks from tonight’s event are live on YouTube. Check it out and subscribe to the SFHTML5 YouTube channel!

https://www.youtube.com/playlist?list=PLUj8-Hhrb-a3ljOyMmh1osheoBHg0kwP7",negative,unpredcitable
344,Thanks to Katie and Google for an awesome event; SFHTML5 is the coolest tech Meetup in San Francisco for sure!,negative,unpredcitable
345,Everything was great!,neutral,unpredcitable
346,Thanks for putting this together SFHTML5 team. I'm really glad that I got to be present and hear the speakers give their awesome presentations!,positive,unpredcitable
347,Very real-world informative!,positive,unpredcitable
348,"Great environment but the seminar room is toooooo long - impossible to see what is written on the screen, especially any code",negative,unpredcitable
349,"I've signed up and paid the fee.  I can't arrive until 6pm and have to leave promptly at 8pm.

Will the speakers' presentation stacks be available for download later?  How about a video of the entire event?",,
350,The presentations will be recorded and available on  https://bit.ly/sfhtml5videos after the event,positive,unpredcitable
351,"Thanks, Carlos! We also have a YouTube channel, where you can find all our recordings: bit.ly/sfhtml5youtube",negative,unpredcitable
352,Signed up and looking forward to this event.,neutral,unpredcitable
353,This will be amazing.,positive,unpredcitable
354,Details at https://www.krankygeek.com/,neutral,unpredcitable
355,Can't wait to see the photos from the photo booth!,negative,unpredcitable
356,I had this sudden chill & headache this morning 🤒 sadly I'll miss it tonight. Have a great time everyone!,negative,unpredcitable
357,Does anyone have experience with a .biz domain causing problems with email messages being marked as SPAM?,negative,Q
358,Do to some travel schedule issues we couldn't do it this year!,neutral,unpredcitable
359,Are we not doing the Food Bank this year?,neutral,Q
360,Thank you everyone who rsvp'd to our Google Cloud Platform Meetup this month. The details have been finalized and a set date of February 22nd at 6 p.m. has been decided. We look forward to seeing you then!,positive,unpredcitable
361,Is this about the Connected Citizens Program for Waze?,neutral,Q
362,"No, no, unfortunately we're not involved in that and I just realized there is a typo. It should be GCP (Google Cloud Platform).",negative,unpredcitable
363,Great and inspirational; I was moved by the altruistic start-ups presented at the event.,positive,unpredcitable
364,This was a great chance for non-profits to share their visions and give beginners the opportunity to get some valuable field experience!,positive,unpredcitable
365,"Thanks for attending, everyone! The recordings are available here: https://www.youtube.com/playlist?list=PLUj8-Hhrb-a2-F7FMfPbFa_-KFRRE7Njp. Enjoy!",positive,Q
366,Excellent!,neutral,unpredcitable
367,"The talks from the Kranky Geek WebRTC Show are live on YouTube!

Check out the videos here:
https://www.youtube.com/watch?v=prpq-XJsIoI&­list=PLUj8-Hhrb-a2S-TybsaiYuiAncmy­7-klr",negative,unpredcitable
368,I must confess: I'm not thrilled with the mandatory mailing list sign up.,negative,unpredcitable
369,The talks will also be recorded and posted online soon after the event.,neutral,unpredcitable
370,"Thanks for note. This was oversight, should be fixed now.",neutral,unpredcitable
371,Link to event bright?,positive,Q
372,"Thanks again to everyone for coming out tonight! I'm very excited about the future of the Lakeland tech community. 

Here's a link to the presentation from tonight: https://speakerdeck.com/chrismorata/code-lakeland-1-building-empathy-with-personas

And here's a link to the survey if you haven't had a chance to fill it out yet: http://bit.ly/CodeLakelandSurvey

Looking forward to seeing everyone at the next one!",negative,unpredcitable
373,"Good Morning,
This month's meetup topic is being presented by Pete Schiebel from VOCE Communications. Time will be split between introducing WordPress for those not familiar with it and then showing examples of how it can be customized. VOCE has worked on a variety of projects for famous brands like Microsoft, Sony, Disney, etc. We look forward to seeing everyone next week. Remember the time has been changed to begin at 6pm and end at 8pm.
Thanks!
Elizabeth",negative,unpredcitable
374,Thanks Matt!,positive,unpredcitable
375,"Thanks for conducting this workshop, hoping more discussion like this",positive,unpredcitable
376,This event was top notch 👍,positive,unpredcitable
377,Excellent panel of speakers.,positive,unpredcitable
378,"Really looking forward to this! Thanks for letting me know about this awesome group, Carrie.",neutral,unpredcitable
379,"ETA: Mon/Tue next week, sorry for the delay.",negative,unpredcitable
380,Details at https://www.krankygeek.com/,neutral,unpredcitable
381,All the pics from Perf Like a Pirate are up now. Sorry for the long wait!,negative,unpredcitable
382,Thanks hard work,positive,unpredcitable
383,Thank you!!,neutral,unpredcitable
384,This is not all the pics ..lots of peoples pics are still missing ..:(,neutral,unpredcitable
385,When they are all done I’m sure Gabe will let us know. Please be patient,neutral,Q
386,Fixed! Sorry for the wait y'all! There was a bug with Meetup...,negative,unpredcitable
387,"All talks from tonight can be found and shared in this playlist! 

https://www.youtube.com/playlist?list=PLUj8-Hhrb-a20K3oK-Wkm_7G0lLyJ_-qb

Thanks for coming everyone! ARRRRRRRR!",negative,unpredcitable
388,"Thanks, Gabe!",positive,unpredcitable
389,Hi just wondering when can we get the pics from photo booth ..the drive or email ???thanks,negative,unpredcitable
390,uploading pics now!,neutral,unpredcitable
391,Can someone tell me why I am still not able to see them?or should we wait until all uploaded?,unpredcitable,Q
392,Hi where are the pics?,neutral,Q
393,Perfect combo of informative and entertaining.,neutral,unpredcitable
394,"Overall an amazing meetup in terms of venue, food, and amenities! 

I didn't immediately see the connection to html5, but it was a good window into how creating web applications is evolving.

One question for any of the speakers, I guess Colt in particular is, what do you see as the drawbacks for serverless architecture? I mean, it sure seems you are relying a lot on 3rd parties, which granted, are probably just as, or more reliable than your own architecture, but still, it seems a bit tenuous. You don't want yer ship to fall apart, after all. ;)

I sort of have the same question with Firebase, though did get a better feel that the tradeoff for outsourcing security and stability is a little less flexibility (at least how I understood it).",,
395,I look forward to this every year. Thanks so much for keeping the tradition going!!,positive,unpredcitable
396,Thanks to all the great speakers. Amazing performances!,neutral,unpredcitable
397,Great presentations,positive,unpredcitable
398,"thanks Peter, Vanessa, all the speakers and all the contributors for another fun and thoroughly enriching program",positive,unpredcitable
399,what a meetup. thanks for that guys.,neutral,unpredcitable
400,"Hi Carrie, my email is atyeaw@gmail.com.  Thanks!",negative,unpredcitable
401,"All you wanted to know but were afraid to ask about #Angular by Stephen Fluin ( @stephenfluin ) 

https://youtu.be/O9OWJ25U_tM",neutral,Q
402,"What's new in #Angular5 by Alex Zhang (@hizhalex) @ngNewYork 

https://youtu.be/IryOMzupbZ4",neutral,Q
403,"Scale Your #Angular Apps Like The Pros by @MichaelSolati @ngNewYork

https://youtu.be/Bhd2ayEE9mg",neutral,unpredcitable
404,Excellent Meetup ..,positive,unpredcitable
405,Great meetup and location!!!,positive,unpredcitable
406,Well done. I like when speakers get right to the meat of  the topic instead of meandering allover the place. All three speakers were great. Thanks fo respecting our time.,positive,unpredcitable
407,I'm glad! thanks for coming & see you next time :) ✨,positive,unpredcitable
408,wow,positive,unpredcitable
409,awesome!,positive,unpredcitable
410,Grrreatttt! Yarrrr,neutral,unpredcitable
411,Great topics! Very funny!,positive,unpredcitable
412,Great talks with entertaining content!,positive,unpredcitable
413,All the pics from Perf Like a Pirate are up now. Sorry for the long wait!,negative,unpredcitable
414,Very entertaining and informative!,positive,unpredcitable
415,"Thanks for a great event, I really enjoyed the talks. BTW, we're looking for partners for a very early stage startup. If you're interested in libraries, eBooks or digital publishing, please contact me at [masked]. We're currently developing our first product.",positive,unpredcitable
416,"Best event ever!! So sorry,  can't make tonight 😥",positive,unpredcitable
417,Thanks hard work,positive,unpredcitable
418,Oh boy... sounds like Captain Colt is back at it. ;),neutral,unpredcitable
419,Had lots of fun!,positive,unpredcitable
420,Thank you!!,neutral,unpredcitable
421,"Awesome! Thanks guys, hope to see you soon ;-)",positive,unpredcitable
422,"Well done, Mike, glad you built that!",positive,unpredcitable
423,"Thanks for posting this Michael!! BTW if anyone wants to attend but can't afford the ticket, just have them reach out to you or me and we can work it out.",negative,Q
424,This is not all the pics ..lots of peoples pics are still missing ..:(,neutral,unpredcitable
425,"Ugh I wanted to go but I am just too tired been working at the space all day, I'll catch you guys next time",negative,unpredcitable
426,"Best editor is relative, spacemacs has the intellisense integration too :)",neutral,unpredcitable
427,When they are all done I’m sure Gabe will let us know. Please be patient,neutral,Q
428,Noted 😋,neutral,unpredcitable
429,"Sorry Michael, I can't make it this Wednesday.",neutral,unpredcitable
430,Fixed! Sorry for the wait y'all! There was a bug with Meetup...,negative,unpredcitable
431,"Breaking my heart John... I love how you can go to all the other meetups, but when it's my time to talk you CONVENIENTLY can't attend... 😑",positive,unpredcitable
432,"QUITE conveniently, yass...! It's for a good reason though. If it changes I'll be there.",neutral,unpredcitable
433,"Those are odd hours, but I'm inclined to find out more.",neutral,unpredcitable
434,"Well those hours are definitely not right, but it will hopefully be a day or two...",positive,unpredcitable
435,"All talks from tonight can be found and shared in this playlist! 

https://www.youtube.com/playlist?list=PLUj8-Hhrb-a20K3oK-Wkm_7G0lLyJ_-qb

Thanks for coming everyone! ARRRRRRRR!",negative,unpredcitable
436,"Thanks, Gabe!",positive,unpredcitable
437,Hi just wondering when can we get the pics from photo booth ..the drive or email ???thanks,negative,unpredcitable
438,uploading pics now!,neutral,unpredcitable
439,Can someone tell me why I am still not able to see them?or should we wait until all uploaded?,unpredcitable,Q
440,Hi where are the pics?,neutral,Q
441,Perfect combo of informative and entertaining.,neutral,unpredcitable
442,"Sooooooooo mad I'm missing this. So mad.

But 3 of my favorite people on that panel and some of the best community builders I know. So enjoy!",neutral,unpredcitable
443,"Also, my organization, The Knowledge House, provides free technology courses in the Bronx. We are currently partnering with Hostos Community College to teach a FREE Usability Testing Certificate program. If you would like to know more about this opportunity please feel free to reach out to me at dtagoe@theknowledgehouse.org.",negative,unpredcitable
444,It was a great opportunity to learn about what developers are working on.,positive,unpredcitable
445,It was fun. http://tom-jaeschke.blogspot.com/2017/08/i-saw-matt-gaunt-give-talk-on-web-push.html,positive,unpredcitable
446,"Great, but I would have liked to see other speakers on the topic, especially around progressive web apps on mobile.",positive,unpredcitable
447,Does anyone know if the slides are posted anywhere? I thought his walkthrough was really useful with the visuals.,unpredcitable,Q
448,I would like the slides too. Very nice talk.,neutral,unpredcitable
449,"Hi everyone, the recording of Matt's talk is here: https://youtu.be/lteJlP3Xbt4.",neutral,unpredcitable
450,They will be up here: https://gauntface.github.io/presentations/2017/sfhtml5/ although I need to load some polyfillls to get them working on Firefox (please bare with new in that),neutral,unpredcitable
451,"Nice talk. If you didn't catch the address for his book, it's at https://web-push-book.gauntface.com/",positive,unpredcitable
452,"Great talk. Nice guy, knew his stuff.",positive,unpredcitable
453,"The talks from tonight’s event are live on YouTube. Check it out and subscribe to the SFHTML5 YouTube channel!

https://www.youtube.com/playlist?list=PLUj8-Hhrb-a1G8P3O4xrIM8zzPaZQOaYE",negative,unpredcitable
454,"Thank you, Mike",neutral,unpredcitable
455,Loved the event tonight!  Thank you!,positive,unpredcitable
456,If it's not posted then nothing is scheduled,negative,Q
457,"Hi All,

I will be in SFO on 1, 2,3 september, is there any event happening during those days?",negative,Q
458,"Patterns on top of Patterns: A discussion of #ngrx-entity by Nate Kidwell
@ngNewYork

https://youtu.be/ncgm-zws1jc",positive,unpredcitable
459,"A taste of #IoT using #WebBluetooth & #Angular - Xavier Lozinguez (@xlozinguez)

https://youtu.be/Yl37BRBW4V4",neutral,unpredcitable
460,"Here are my presentation slides https://docs.google.com/presentation/d/1xBiqv4x97lV5QvtpfFDg3HTFGAN3DL6DOYwZi3DAqJg
Feel free to get in touch if you have questions.",negative,unpredcitable
461,"https://www.slideshare.net/wandermote/discussion-of-ngrxentity

https://stackblitz.com/edit/entity-example",neutral,unpredcitable
462,Where is everyone? Definitely no one here at the Standard,neutral,Q
463,Hey are you guys going to the standard now?,neutral,Q
464,Will there be an opportunity to talk about business projects we’re currently working on ?,neutral,unpredcitable
465,"Hi everyone, please note that the entrance is on the 9th ave side, closer to 16th ave
See you tonight",positive,unpredcitable
466,"Bill here from Google's Mobile Web Specialist certification team! Interested in participating in our upcoming beta after hearing Meg and I excitedly talk about it last week? 

You can now follow the link below to apply for the beta! Certification testers get a free certification if they pass the exam or a free voucher to retake it.  Thanks everyone!

https://services.google.com/fb/forms/certificationexamtester/",unpredcitable,Q
467,"We are very excited that DevFest is almost here and look forward to seeing you all! We have great speakers, food, swag and some surprises. 

A waitlist is growing and ask you to be considerate of fellow community members who would like to attend.

If you find out you cannot make it please update your RSVP so that someone from the waitlist can take your spot. 

See you Saturday!!!",positive,unpredcitable
468,"Hi folks, had planned to attend but sadly some unexpected work priorities came up. Will the meeting be recorded ?",negative,unpredcitable
469,Woohoo! Shirts and Beanies have arrived! We are officially in prep mode! See you all soon!,negative,unpredcitable
470,"Thanks to Vanessa and Peter and @SFHTML5 for another terrific event, and for your great raffle, too!",positive,unpredcitable
471,+1,neutral,unpredcitable
472,Excellent talks - including the lightning talks!,positive,unpredcitable
473,Cool. You can email me at [masked],positive,unpredcitable
474,"The talks from tonight’s event are live on YouTube. Check it out and subscribe to the SFHTML5 YouTube channel!

https://www.youtube.com/playlist?list=PLUj8-Hhrb-a13Tmr177jC1X345vIPrh3a",negative,unpredcitable
475,WOW So fast now!  thanks,positive,unpredcitable
476,"Thanks, Mike!",positive,unpredcitable
477,"Nice job, Mike. Thanks so much!",positive,unpredcitable
478,"Very relevant topic, presenters very knowledgeable.",positive,unpredcitable
479,Awesome speakers and event!,positive,unpredcitable
480,"Hi,  will this be recorded? If not can I bring my camcorder to record? Thanks.",neutral,Q
481,They record and publish at https://docs.google.com/spreadsheets/d/1DxqVumR3pppgMQNQ42iu8XeYaeLpc95XNVAlipza1lw/htmlview,neutral,unpredcitable
482,"The presentations are recorded and, in addition to the spreadsheet Ferran mentioned, they will posted on SFHTML5's Youtube channel (https://www.youtube.com/user/sfhtml5)  a day or two after the event",negative,unpredcitable
483,"Hey, How can I purchase multiple tickets? I am bringing 5-6 people with me, do I need to purchase it separately??",neutral,Q
484,"Hi Achint, each person needs to register with SFHTML5 and RSVP. Thanks!",negative,unpredcitable
485,Contact the organizers via email. You'll get a quicker answer that way,neutral,unpredcitable
486,"I was wondering why this meet up is still active and realized this is a long event :)

The presentation used for the meet up https://docs.google.com/presentation/d/14IjHz4I-ystgY95Hw2HN9ZoK8JTZs0mRXNF5ynwNOd8/edit?usp=sharing",negative,unpredcitable
487,"About => https://support.google.com/partners/answer/7358899?hl=en-GB&ref_topic=7359299

Study Guide => https://support.google.com/partners/answer/7327828?hl=en-GB&ref_topic=7327827

Interactive Learning Guide => https://academy.exceedlms.com/student/path/1727",neutral,unpredcitable
488,This Fest was very informative! Can someone please post the link to the slides here.Thank you!,positive,unpredcitable
489,Amazing fest cant wait for this next year 😄,positive,unpredcitable
490,"Can hardly wait to attend next year. Having it on a Friday was great. Though, I would have preferred it was later in the year.",negative,unpredcitable
491,anyone selling the ticket??! I’m willing to buy the ticket. :),neutral,Q
492,Will bringing a laptop be beneficial?,neutral,Q
493,"I usually bring a laptop to take high level notes. Honestly a pen and notebook usually would suffice too.

My recommendation is if this is your first time at a conference bring your laptop and see how it works out.",,
494,Awesome! First time for sure. So a fully charged laptop it is.,positive,unpredcitable
495,I was one of those people who were late to buy the tickets. If anyone is not going and want to sell their tickets please let me know. Thanks,neutral,Q
496,If anyone can't go and can sell me their ticket please let me know ty,neutral,Q
497,If you have not gotten your ticket yet I suggest acting quickly we are ALMOST sold out. Get your tickets at https://windycitydevfest.eventbrite.com and learn more at https://windycity.devfest.io,negative,Q
498,"It was great to meet all of you last night! For those of you who were interested, the discount code for ChefConf is SVDMEETUP. That will get you 15% off any registration, and you can register here: http://chefconf.com Hope to see you all there!",positive,unpredcitable
499,All tickets are sold out. Will it be possible to get a ticket?,neutral,Q
500,Quick reminder to everyone get your tickets over on https://windycitydevfest.eventbrite.com and check all the amazing talks over at https://windycity.devfest.io,positive,unpredcitable
501,Probably would be interested if I knew what will be,neutral,unpredcitable
502,"I'm assuming you are wondering what some of the talks will be and unfortunately at this time we have not selected the talks. I can tell you that we have some great talks submitted with topics such as Tensorflow, Firebase, Progressive Web Apps, Kotlin, Smart home and there is still time for other great talks to get submitted! I hope this helps you decide to come. 

Be aware that right now we are doing our early bird pricing and when we announce the lineup of speakers we will raise the price.",,
503,We have gotten a bunch of the talks online please make sure to check out the site now. More to come over the next few days! https://windycity.devfest.io,neutral,unpredcitable
504,"A good chunk of talks have been posted more are still coming! https://windycity.devfest.io/sessions

Get your ticket today!",positive,unpredcitable
505,Running out of time to get your early bird tickets only a few hours left! Great speakers lined up and ready to be announced in the coming hours!,negative,unpredcitable
506,Love the enthusiasm behind topics but remember you need to buy your tickets on Eventbrite https://windycity.devfest.io get your early bird tickets now before they are gone!,neutral,unpredcitable
507,Buying tickets on Monday,negative,unpredcitable
508,Remember that time Monday came and went for like a month and I still don't see a ticket from you....,negative,unpredcitable
509,One week left to get your tickets at early bird prices! Tickets will be going up in price once all the speakers are announced next week! I will say this is shaping up to be a great conference. Over 30 submissions for talks so far. Awesome giveaways and your typical conference style swag! Head over to https://windycitydevfest.eventbrite.com to get your early bird ticket today!,negative,unpredcitable
510,Friendly Reminder less then 2 weeks left to get your early bird takes. 1 week left to get your speaker submissions in! Can't wait to show you guys all of what we have up our sleeves! https://windycity.devfest.io,negative,unpredcitable
511,I think I can officially say we have giveaways in the double digits and that doesn't include the swag that comes with the ticket. Head over to Eventbrite to get your tickets!,,
512,"1 month warning! on December 11th we will be announcing all the speakers and increasing the prices. I highly suggest getting your tickets now on eventbrite https://windycitydevfest.eventbrite.com 

I can say there will be at least 1 Tensorflow talk, 1 Actions on Google(Google Assistant) talk, and 1 Cloud talk about going serverless.

Got anything you'd like to give a talk on apply now at https://windycity.devfest.io",negative,unpredcitable
513,Kotlin for the win,neutral,unpredcitable
514,Progressive web apps all day!,neutral,unpredcitable
515,"Great discussion, looking forward to moving on next steps!",positive,unpredcitable
516,"Unfortunately, the original venue changed their commitment very last minute. Our team was lucky to find PSR on such a short notice. We hope to see you today, Howard.",negative,unpredcitable
517,"Looks like the address changed.  I thought this was originally at Dharma College, 2222 Harold Way, Berkeley.  Not so close to BART now.  Its about 3/4s of a mile, up hill at the end.",negative,unpredcitable
518,We’ll be getting started at 7:30!,neutral,unpredcitable
519,It was pretty nice meeting you,positive,unpredcitable
520,"I hope you will be able to record this, I can't make this new date.

Thanks.",neutral,unpredcitable
521,"Idea 8: 
Centralized announcer -- allow people nearby to route announcements to a popular/extrovert nearby who can announce them",negative,unpredcitable
522,Thank you guys. Minus the hiccups outside of everyone's control it was an awesome way of learning about Chef.,neutral,unpredcitable
523,"Please feel free to contact me at @RobertCrowdis. I'm on Github, Meetup (obviously) and Twitter. I mainly work with Angular technology, but I'm always willing to learn. Let's connect!",negative,unpredcitable
524,"Very interesting and enlightening presentation. Not exactly what I use, but gain my interest in Cassandra.",positive,unpredcitable
525,Many thanks ZS.,neutral,unpredcitable
526,Join me at Tech Series Monthly BBQ at Circuit Launch 🍖🍺 || Bay Meetup #009 http://meetu.ps/e/GKvWk/y5rWS/a http://meetu.ps/e/GKvWk/y5rWS/a,negative,unpredcitable
527,Thank you,neutral,unpredcitable
528,3 days left for another BayMeetup ✌🏽☺️🍖🍖🍖🍻🍻🍻,negative,unpredcitable
529,I'm late. Will reach in 20 min. How much will I miss,negative,unpredcitable
530,"No worries, Johnny! This is a self-paced course, so you can stop by when you can.",negative,unpredcitable
531,"Hey Everybody ! I will be there tonight to help mentor with projects or speed-bumps in your learning. I'll be recruiting for our Berkeley-based startup, Taxnexus.net!",negative,unpredcitable
532,"We look forward to having you tonight, Vernon! Welcome to GDG Berkeley ☺",negative,unpredcitable
533,"Hi James, 

I lended an iphone charger to Meghan during the meetup. But I forgot to collect it before leaving. Do you happen to have it? 

Thank you.",unpredcitable,Q
534,Slides from tonight's talk: https://speakerdeck.com/calren/help-kotlin-help-you,neutral,unpredcitable
535,"Awesome! Thanks, Caren!",positive,unpredcitable
536,4th floor everyone,neutral,unpredcitable
537,"Hello. What should we install for the CodeLab on our laptops? More generally, what prereqs would the CodeLab involve?

Thanks!

- Frank Solomon",neutral,Q
538,Hi Frank. Great question. I would suggest having either Android Studio or IntelliJ IDEA installed.,negative,unpredcitable
539,"Thanks to all those who attended our meetup yesterday evening, and to the speakers Xavier Fernandez, Ignasi Barrera and Zac Stevens - both sessions were very informative.

Thanks also Jon Cowie for coming along and giving a heads up on his new book, 'Customizing Chef'.  You can get more details on the book, along with a discount at http://www.jonliv.es/book.

We will send out a notification for our next event once we have more details on date & speakers.  Please let us know if you're up for giving a talk on a particular topic, or even a 5-10 minute lightning talk.",,
540,"Hi all - in case you haven't already signed up for the 1-day Firebase Hackathon at DevFestNYC on Dec 4 - please do so now http://bit.ly/appfestNY-cfp-2017


We have just about 10-15 spots left to fill and I want to give the community a chance to fill them before we open it up to everyone via DevFest publicity",neutral,unpredcitable
541,Great to see everyone at the event. Good talks and interesting discussions.,neutral,unpredcitable
542,"Note: it is not mandatory to participate in the Hackathon - but why would you not want to? :-)  Click that link to understand requirements.

All participants get a free ticket to Day 2 of DevFest (and all its swag) plus a subsidized ticket to Day 1 (tech talks). Plus the Firebase team will be sending engineers to help mentor and judge the winning apps. It's a chance to do something fun & productive. 

Plus - Dec 3 marks the start of CSEdWeek - consider this your official completion of the HourOfCode :-)",negative,Q
543,I signed up when this was first mentioned.  Will we get an email notification or something about the details of the event?,neutral,Q
544,Yup! James is totally right. If you have Android Studio 3.3+ installed you should be good to go.,positive,unpredcitable
545,For anyone who'd like to look through the angular elements slides: https://nge-slides.firebaseapp.com/,neutral,unpredcitable
