s.no,text,labelled_sentiment,stanford_sentiment,stanford_qa
951,"@thejcurt unlocking it at @apple store. RIP, Mr. Jobs.",neutral,neutral,unpredcitable
952,"Siri is cool but more importantly handy and FUNNY. @Apple please configure it for Canada. What's with the racism, EH?",neutral,positive,Q
953,"RT @Apple Yea, our stores are open 7 days a week RT @Wasalu_Flora Me too? RT @DJ_BMONEY iPad ..+ iPhone 4s..= My Christmas gifts to my self.",neutral,negative,Q
954,#IOS5  needed to include a landscape mode for reminders @Apple,neutral,neutral,unpredcitable
955,"De la nada mi #iPhone4 se fue a negro y empezó a vibrar, hubo que resetearlo, que onda con #iOS5 WTFH @Apple",neutral,negative,unpredcitable
956,http://t.co/CvEKdOIQ line at @Apple northpark #dallas mall. #4GSiPhone,neutral,neutral,unpredcitable
957,@davidcohen Sounds like 2nd day strategy isn't working. We got ours yesterday - in and out in no time. @Apple staff awesome/efficient!,neutral,negative,unpredcitable
958,"@sprint is slow, slow, slow. beware when signing with #SlowSprint. @apple #iphone #iphone4 #iphone4s #Siri #android #TheBufferingNetwork",neutral,negative,unpredcitable
959,Waiting on line @Apple store at west 14th Street.,neutral,neutral,unpredcitable
960,In honor of Steve Jobs. @apple #RIPSteve http://t.co/NyjhkNoU,neutral,positive,unpredcitable
961,when is @apple gonna update the fact that i can't see emoji on twitter for mac?,neutral,negative,Q
962,RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/AlDicTd1,neutral,negative,unpredcitable
963,RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0,neutral,negative,unpredcitable
964,@apple so why is the ios support for 2nd gen ipods discontinued? It is only 3 years old? Give us an ios update please!,neutral,neutral,Q
965,"Just had a look on eBay for iPhone 4s and some have 13,16,24 bids at well over £500 some £530 (16gb white) , they are £499 delivered @apple",neutral,negative,unpredcitable
966,#SaturdayCute: Shit That #Siri Says. @Apple designers knew what people were going to ask the new digital assistant... http://t.co/Ecji1iIo,neutral,neutral,unpredcitable
967,"@thatstevegray done that buddy, just  surprised that there's no option from @apple & if you turn it back on it brings back the pics u delete",neutral,negative,unpredcitable
968,SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator --- Posts on Twitter,neutral,negative,unpredcitable
969,So @apple changed the look of their on/off toggle. I wonder how long it will take for all the hip web apps to follow...,neutral,negative,unpredcitable
970,I want everybody on earth to iMessage me.  Is there anyway the world can iMessage me without giving them my phone number??? @Apple,neutral,,
971,"RT @MyMelange: Wall to wall people, security and a huge line outside just to get in the @Apple store.  http://t.co/i1khkgJm",neutral,neutral,unpredcitable
972,Whoa! Line at @apple store in Glendale for iPhone 4S  http://t.co/yZlpogXB,neutral,neutral,unpredcitable
973,Follow me and I follow you!! @iOS5 @fansoflilwayne @follow @apple,neutral,neutral,unpredcitable
974,"Salesperson at #soho @Apple store ""it doesn't matter how many people are lined up out front. They're not gonna get one"" #iphone4s",neutral,neutral,unpredcitable
975,@apple and I'm looking at the outside & all you see is sticky notes about steve jobs,neutral,neutral,unpredcitable
976,@samsung and @apple never rest as they battle in court yet again over tablets.(not the pills),neutral,neutral,unpredcitable
977,Iphone update is great but seriously @apple let me delete stuff I dont want like gamecenter. Steve wont mind...,neutral,negative,unpredcitable
978,@rjakesuk mine is past the warranty and I don't have AppleCare. #ios5 @apple,neutral,neutral,unpredcitable
979,If @Apple could put the USB female connector in cars would be #Dope,neutral,neutral,Q
980,What do we have to do to get Flash on #iPad? @Apple please please please change your mind. Thank you in advance! @kusi_sk  @PeterNemcok,neutral,positive,Q
981,@ireton Perhaps it's time for @Apple to come out with an app called iSuck that lets you know which apps are killing your battery life,neutral,negative,unpredcitable
982,20 min line @apple store @short pump.,neutral,neutral,unpredcitable
983,Lol @Apple support playing Mary J Blige during the wait time.,neutral,negative,unpredcitable
984,"RT @TheMacMob: Sprint, Verizon & AT&T @Apple Stores http://t.co/ZOzR0UUz",neutral,neutral,unpredcitable
985,@xwordy iCloud was new; I didn't need weather or stocks but they were there pre #ios5 so I'm not hopeful that this will help @apple,neutral,neutral,unpredcitable
986,"Thinking more, I want Android to do an iMessage service & for @Google & @Apple to interconnect. They would if the cared about their users.",neutral,negative,unpredcitable
987,@apple in Austin:  domain location - umbrellas are nice but being staffed properly would be better.,neutral,negative,unpredcitable
988,bored - need a new intriguing #app for my #iPad.  Any suggestions?  @apple #yyc @Gadget_Guy,neutral,unpredcitable,Q
989,"@KeepnUpWitTBoyd @AppStore @iTunesMusic they fixed a bug Thursday after I had done my update? Thus my issue, spent Fri @apple  #iOS5",neutral,negative,Q
990,"And @Apple I still have an old MBP from 2006 which I use - which can't run #Lion, I still like to sync it!",neutral,negative,unpredcitable
991,"@moLifer26 @apple When we find people standing in the middle of blood-soaked rooms saying, ""Siri told me to?"" #noreallyihearvoices",neutral,neutral,Q
992,"...now with Siri were talking to our iPhones... how will we ever know if people are really truly crazy? :P 
#iphone4s #Siri #apple @apple",neutral,neutral,Q
993,@notleifgarrett @apple you'll be able to afford that mansion one day.,neutral,positive,unpredcitable
994,"@fabi_m not that I know of. I think it is only on iOS, should get @apple to make a desktop app :)",neutral,negative,unpredcitable
995,"@notleifgarrett @apple wished their on hold music played ""Pictures of You"".",neutral,positive,unpredcitable
996,@RealEstateGuyWI All about yesterday's @Apple upgrade. Helpful but maddening,neutral,neutral,unpredcitable
997,"after being on hold with @apple for the last 30 mins, i really like their music selection of on-hold music. White Stripes, Ray Lamontagne...",neutral,neutral,Q
998,"""#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/g8Uof7uz #PampersHelloApps""",neutral,positive,unpredcitable
999,"@vlingo is a POOR substitute for Siri!! Yo @APPLE, gimmie Siri!!!!",neutral,negative,unpredcitable
1000,@Apple Scrapple. (:,neutral,neutral,unpredcitable
1001,@tvnewschick @apple Oh no! Why not?! I want it to be love-love-love! It's a lot of dough to spend otherwise...,neutral,unpredcitable,Q
1002,One of the great #entrepreneurs has died. #Steve #Jobs has passed away. Our hearts go out to his family and everyone at @Apple,neutral,positive,unpredcitable
1003,@fashionNOGuilt haha! tomorrow should be less hectic too! 'cause everyone and their moms was at the @apple store today! ;],neutral,negative,unpredcitable
1004,"Casi 30 años usando PC, de ellos casi 4 Mac y tengo q decir que el Macbook Air 11"" de @apple es de largo lo mejor. No imagino como mejorarlo",irrelevant,negative,unpredcitable
1005,Ud alguna vez ha llamado al servicio de @apple support? Se nota!! Con razon le gusta apple : @,irrelevant,negative,Q
1006,@waze_it @macneo Bellissimo video. Sono sempre più convinto di prendere un @Apple iPhone e gettare via il @Nokia N97 che mi ritrovo.,irrelevant,negative,unpredcitable
1007,"ipad: ""mi aparato favorito de la vida"" frase celebre de Azay Carrasco @apple #ipad",irrelevant,neutral,unpredcitable
1008,Cenaze nedeniyle kapalıyız' @apple  http://t.co/j4L892Kk,irrelevant,neutral,unpredcitable
1009,Dancing bear @apple store Lincoln center http://t.co/XBmjUpMq,irrelevant,neutral,unpredcitable
1010,#BlackBerry #RIM esta tratando de abarcar el mercado imitando a android y en ciertas cosas a @Apple pero sinceramente no creo que llegue :),irrelevant,negative,unpredcitable
1011,iPhoneのアドレスは@apple.ne.jpにすればいいのに(´ι_`),irrelevant,negative,unpredcitable
1012,sail phoenix next stop----&gt; after quimera rock @apple house,irrelevant,negative,unpredcitable
1013,che palle sto cacchio di #WP7 di merda con un #Whatsapp che funziona di cacca per colpa del sistema di #notifica! @apple send me an #iphone,irrelevant,negative,unpredcitable
1014,"Twitter intègré dans ios5, mais le correcteur français ne connaît pas ce mot et propose titrer... Peut mieux faire comme intégration @Apple",irrelevant,negative,unpredcitable
1015,Chill lol RT @apple: 😂😂😂😂😂😂😂😂 RT @Styl_Standin: What is imessage??,irrelevant,neutral,Q
1016,@LennyDubz you do know that @apple is not the company. and why u blasting me on #twitter???,irrelevant,neutral,unpredcitable
1017,@bassponton @iphoneclub @kpn @iphone @apple ja. En dan heb je voor dat geld ook nog een datalimiet....,irrelevant,negative,unpredcitable
1018,Y sigue sin avisarme cuando me mencionan en Twitter... #pidounparche #actualizenlaapp @apple @steve_jobs #mugrero,irrelevant,negative,unpredcitable
1019,Kan @Samsung och @Apple sluta slåss om kunderna i rättssalen och med världens bästa produkter istället så blir det mycket bättre!,irrelevant,negative,unpredcitable
1020,"Y @Apple? ""@BlackberryVzla: RIM anuncia más de 150 millones de dispositivos Vendidos, 1 Billón de Apps Descargadas ymás http://t.co/5IFKXvg4",irrelevant,negative,unpredcitable
1021,Wat een belachelijke prijzen KPN-prijzen iPhone 4S duiken op http://t.co/ep9kZUPb via @iPhoneclub @kpn @iphone @apple,irrelevant,negative,unpredcitable
1022,Fullscreen überall nur der #AppStore hat keine Option dafür. Warum? @apple,irrelevant,negative,Q
1023,Love how  @rogersbiz tell u they're not allowed to sell the 4s for $ more than @Apple but yet want $100 more for the 64G,irrelevant,neutral,unpredcitable
1024,Me acabo de convertir en un #fanboy de @apple. El ipad2 con el cristal roto y me lo cambian aunque no lo cubre la garantía. Increíble!,irrelevant,negative,unpredcitable
1025,@apple bees w. @DEEJAY_TINYT :),irrelevant,neutral,unpredcitable
1026,Complimenti sinceri ad @apple per #IOS5 va benissimo su #iPhone e #iPad,irrelevant,negative,unpredcitable
1027,"RT @supaluga: RT @modalnho: New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/u82a1Ivk",irrelevant,negative,unpredcitable
1028,Apple vende 4 millones de iPhone 4S en tres días http://t.co/FH5T5Mi6 #turismo #martesviajero @apple,irrelevant,neutral,unpredcitable
1029,Mooi verhaal over @Dropbox en hoe zij een geweldig aanbod van @apple Steve Jobs hebben geweigerd in het verleden. http://t.co/eARoBIne!,irrelevant,negative,unpredcitable
1030,@imightbewrong @apple @inthequeencity #teamapple,irrelevant,neutral,unpredcitable
1031,"RT @modalnho: New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/u82a1Ivk",irrelevant,negative,unpredcitable
1032,Verzoek aan @apple voor iphone: koppel agenda aan bellen. Zo kun je in afspraak opgeslagen telnummer meteen aantikken en bellen. #thnx,irrelevant,negative,unpredcitable
1033,cc @apple http://t.co/8TnodVS8,irrelevant,neutral,unpredcitable
1034,"さっきスパルガ先生とラーメン屋でmodaについて語っていた@modalnho""ショウケース@apple store 銀座"" 記録 / starring:ichiro_,REPEAT PATTERN,COFFEE SHOPS,moda → http://t.co/zbI6rZ5s",irrelevant,negative,unpredcitable
1035,En @Apple mucho diseño pero llevo media hora esperando a mi clase que poca formalidad,irrelevant,negative,unpredcitable
1036,"So ya my ITunes is in Japanese???
@apple
#lostasamothafucka",irrelevant,neutral,Q
1037,"おっとー、出演者ショップスが抜けてた! -- New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_,REPEAT PATTERN,COFFEE SHOPS,moda → http://t.co/kmJ0o1Ja",irrelevant,negative,unpredcitable
1038,@Apple -Handy: @iPhone -4S-Besitzer schimpfen über Netzprobleme -  http://t.co/abHuRvyc,irrelevant,negative,unpredcitable
1039,@Apple erneut im Fadenkreuz - Umweltverschmutzung? @Apple -Zulieferer muss Produktion stoppen  http://t.co/aH9KgrLY,irrelevant,unpredcitable,Q
1040,"RT @modalnho: New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/kmJ0o1Ja",irrelevant,negative,unpredcitable
1041,iPadのビジネス活用セミナー@Appleストア銀座なう。イシン（株）の高木さんを見にきたよ。,irrelevant,unpredcitable,unpredcitable
1042,"New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/kmJ0o1Ja",irrelevant,negative,unpredcitable
1043,@GuySie Heb je gisteren Tros Radar gezien over Apple. Garantie werd niet nagekomen door @Apple en devices zeer snel kapot.,irrelevant,negative,unpredcitable
1044,@Notre4Dame @apple haha no fuck that its still took sux and a half hours and i have to be up at 7,irrelevant,negative,unpredcitable
1045,RT @aranzibia: Las aplicaciones más populares para iPhone (vía AppleWeblog) http://t.co/m68Tzn1K #iphone @apple,irrelevant,negative,unpredcitable
1046,Las aplicaciones más populares para iPhone (vía AppleWeblog) http://t.co/m68Tzn1K #iphone @apple,irrelevant,negative,unpredcitable
1047,#iOS5 op iPad 2 geïnstalleerd. Tijdrovend en bepaald niet probleemloos. @Apple gaat meer en meer de #Windows kant op. ;-(,irrelevant,negative,unpredcitable
1048,"@Twitter CEO @DickC on @Apple, Privacy, Free Speech and @Google; Far From IPO http://t.co/ztq9Sx7x",irrelevant,neutral,unpredcitable
1049,@Karofsky @Apple  how's that pear coming? oops i mmeant apple!,irrelevant,neutral,Q
1050,"Por cierto @Apple, me sigue gustando mas MobileMe que iCloud. La sincronización de mis ordenadores, la gestión de carpetas... nada que ver.",irrelevant,negative,unpredcitable
1051,"Welp. RT @Tree @Apple you didn't fall too far from me, huh? RT @NikkiNotNiki Nia Long's mom is gorgeous..",irrelevant,unpredcitable,Q
1052,"جهاز من كل ثلاثه تحمل iOS 5
""@TechCrunch: iOS 5 Already Installed On 1 In 3 Eligible Devices http://t.co/2Hijv2LK by @grg"" @apple @ios5",irrelevant,negative,unpredcitable
1053,"@Apple Mooi systeem hoor dat films huren, t zou alleen leuker zijn als je ze ook werkelijk kan bekijken!!! #NAAIDOZEN http://t.co/Qg0RYdVX",irrelevant,negative,unpredcitable
1054,"@Apple podría lanzar un #iPad Mini en el 2012, según los últimos rumores. http://t.co/3mkPJTFX",irrelevant,negative,unpredcitable
1055,Viens de tester #ios5 sur un 3GS et franchement c'est pas mal du tout ! @apple,irrelevant,negative,unpredcitable
1056,"http://t.co/k8RQwXty 
para que descargues apps para tu dispositivo #iOS de @Apple.",irrelevant,negative,unpredcitable
1057,"Por fin Adobe para #iOS, al parecer @Apple se reconcilia en esta nueva gestión.",irrelevant,negative,unpredcitable
1058,Lekkere garantie volgens #radar bij @apple. #Ned1,irrelevant,neutral,unpredcitable
1059,RT @IsmaelLaRosa: En la tienda de @Apple WoooooW Que legado dejaste #SteveJobs iAdmire U. Está Repletoooo iFull LOL,irrelevant,negative,unpredcitable
1060,En la tienda de @Apple WoooooW Que legado dejaste #SteveJobs iAdmire U. Está Repletoooo iFull LOL,irrelevant,negative,unpredcitable
1061,"querida @apple, até quando o steve vai ficar na sua pagina inicial?",irrelevant,negative,Q
1062,"@MissHell23 Umm, pretty sure I typed @Apple, not you, but okies, why'd you do it, then? *grin*",irrelevant,unpredcitable,Q
1063,Contra todo pronóstico @Samsung podría ser el fabricante del #chipA6 para @Apple http://t.co/6utPqa5w,irrelevant,negative,unpredcitable
1064,Perry ricks @Apple @Lenox http://t.co/9kYgOvB1,irrelevant,neutral,unpredcitable
1065,@pnt21 ドンマイー@(・●・)@Apple社保証薄いから気をつけてね,irrelevant,negative,unpredcitable
1066,Descuentos y offertas para applicaciones de @apple http://t.co/8VNd57qk #mobil,irrelevant,negative,unpredcitable
1067,"#MobileMe, #iCloud, #AppleID... cómo sobrevivir a la transición de las cuentas de @Apple http://t.co/3lMPiCjK",irrelevant,neutral,unpredcitable
1068,@Bonita1108 es pura envidia xq @Apple no te ha regalado nada con o sin fallas #VivaBlackBerry,irrelevant,negative,unpredcitable
1069,"RT @mpastrana: RT @apple no pasa nada, todo esta bien, no pasa nada, todo esta en orden http://t.co/zwECWhD",irrelevant,negative,unpredcitable
1070,Se tan arruinando mis audifonos d mi #iphone @apple quien me quiere regalar unos? http://t.co/56eeE9uY,irrelevant,negative,Q
1071,Asi o mas mala la #version5.0 de @apple...,irrelevant,neutral,unpredcitable
1072,@macworld_brasil vcs conseguiram fazer funcionar o find my Mac? O meu sempre pede para reportar o erro a @Apple !,irrelevant,negative,Q
1073,&gt; 4 mln iPhones verkocht in eerste weekend: http://t.co/1pPZz1oX (via @apple),irrelevant,negative,unpredcitable
1074,&gt; 4 mln iPhones verkocht in eerste weekend: http://t.co/OP26muCr (via @apple),irrelevant,negative,unpredcitable
1075,"Curso de DJ na @apple em breve, informaçoes 30114020 ou 91287199
msn: dj_sandrocosta@hotmail.com
@djtetekerbes",irrelevant,negative,unpredcitable
1076,@dgosset @lolopb oh putain… j'ai vidé mon spam il y a peu… Le mail de applecert@apple.com est dans ce qu'il reste…,irrelevant,negative,unpredcitable
1077,RT @BikerVox: http://t.co/EVItL2eO @KentStoffels @MArioMUssolini @iOS_Notch @Apple,irrelevant,neutral,unpredcitable
1078,http://t.co/EVItL2eO @KentStoffels @MArioMUssolini @iOS_Notch @Apple,irrelevant,neutral,unpredcitable
1079,¿Quién dijo crisis? @Apple ha vendido 4 millones de unidades del #iPhone4S en sólo tres días,irrelevant,unpredcitable,Q
1080,Resultado de ventas de @apple 4millones de #iPhone4s vendidos,irrelevant,neutral,unpredcitable
1081,@hervepierre mdr! ouais une mauvaise expérience avec les vendeurs @Apple store m'a fait hair l'iphone ;),irrelevant,negative,unpredcitable
1082,"bagi yg acc USnya di disabled sama apple,email aja itunes store supportnya minta di re enabled lagi
iTunesStoreSupport@apple.com",irrelevant,negative,unpredcitable
1083,"Pederčine umobolne, oću APDEJT ne FORMAT SVEGA ISUS VAM JEBO MATER @apple",irrelevant,negative,unpredcitable
1084,O poder de #pensardiferente: a mágica de #SteveJobs foi transformar egomania e obsessão em trunfos http://t.co/qkUoeEzv @apple @ipad @ipod,irrelevant,negative,unpredcitable
1085,講習中@apple shop GINZA,irrelevant,neutral,unpredcitable
1086,"#epicfail @apple bij upgraden naar IOS5 instellingen kwijt en ebooks verloren. het kost me dus geld zo'n upgrade, WAARDELOOS!",irrelevant,negative,unpredcitable
1087,"Hey @apple , je sais que tu es encore un peu remué, mais tu pourrais ajouter le verbe avoir à ton dictionnaire ?",irrelevant,negative,unpredcitable
1088,@chachasikes @iphone @apple on the iphone4s???,irrelevant,neutral,Q
1089,@ferchowii @Adr_Mart_Com @Apple no tengo,irrelevant,negative,unpredcitable
1090,追悼ジョブズ氏…@Apple Store#fb  http://t.co/V07PBNdP,irrelevant,negative,unpredcitable
1091,^___^ que amable es la gente de @apple,irrelevant,neutral,unpredcitable
1092,Como puedo checar mi correo si tengo cuenta @apple.com?? :S osea no q onda con eso!! jajaja,irrelevant,negative,Q
1093,RT @Leahjanell: This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/Dp4XiDs2,irrelevant,positive,unpredcitable
1094,This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/tmQ50JRU,irrelevant,positive,unpredcitable
1095,Partner with @apple. I&#39;d pay $50 for aniBulb. &quot;@washingtonpost: Would you pay $25 for this lightbulb? http://t.co/zGFsehAO&quot;,irrelevant,negative,Q
1096,todos quieren destruir a @blackberryhelp ves que estas en la mala @sebitasrodri mira que @apple ya tiene chat,irrelevant,negative,unpredcitable
1097,@chefreggie06 @rolandsmartin @Apple get ready Tampa Bay the Martin's are coming to town! Bring it on Buccaneers!,irrelevant,neutral,unpredcitable
1098,@heidiknyc @apple @Badog420 Cute dinner when ur back from shanghai xx,irrelevant,positive,unpredcitable
1099,@apple - dette blir for dumt. http://t.co/zqKMkq91,irrelevant,neutral,unpredcitable
1100,ninguem desliga o 3g do celular -.- “@giuchavez: Olha aqui @apple: na proxima atualizaçao eu quero um atalho pra ligar/desligar a 3g Ok ...,irrelevant,negative,unpredcitable
1101,Teach Different: iTeach Therefore iAm http://t.co/yozd8HCx @apple @teachforus @teachforamerica #ipad #stevejobs,irrelevant,neutral,unpredcitable
1102,@Apple et je devrais arrêter de vous glorifier et ça c'est pas cool...,irrelevant,neutral,unpredcitable
1103,yo @Apple va falloir faire quelque chose pour l'app vidéo. Le fait de pas pouvoir laisser la vidéo jouer en faisant autre chose &lt;  diarrhée.,irrelevant,negative,unpredcitable
1104,Quiero migrar @Apple!,irrelevant,neutral,unpredcitable
1105,O #itunes acaba de me avisar q esta disponível a versão 5 pra atualizar meu #Iphone 4. Como não cair de amores pela @apple e #SteveJobs ?!!,irrelevant,negative,unpredcitable
1106,@apple pratet om en versjon av iPod touch til barn. De ombestemte seg da tittelen nærmet seg #iTouch Kids.,irrelevant,negative,unpredcitable
1107,"Olha aqui @apple: na proxima atualizaçao eu quero um atalho pra ligar/desligar a 3g Ok ? Aff fazem tudo pela metade !!! Steve,da um jeito ai",irrelevant,negative,unpredcitable
1108,interesante por decirlo menos sabes que la cámara del #iphone4s le pertenece a #sony ... mmm ojalá ande bien y no sea mala jugada de @apple,irrelevant,negative,unpredcitable
1109,"Oja, ik ben gelijk al mijn apps kwijt bedankt @apple .",irrelevant,negative,unpredcitable
1110,#Deal & #Schnäppchen Update: [iPad] iPad 1. Generation generalüberholt ab 389 € @Apple - http://t.co/xDtdZurD,irrelevant,neutral,unpredcitable
1111,@ChArEnCe RaMoS @apple jane @heiMachO @tintin_Julielmo new followers..:) na follow back ko na po kayo..:),irrelevant,negative,unpredcitable
1112,[iPad] iPad 1. Generation generalüberholt ab 389 € @Apple: Der Tablet von Apple bleibt weiterhin recht preisstab... http://t.co/h8ANhAVu,irrelevant,negative,unpredcitable
1113,Kan @Apple de #tekstaanvulling op #iphone en #ipad niet omdraaien? #eigenteksteerst #weetapplehetaltijdbeter,irrelevant,negative,Q
1114,[iPad] iPad 1. Generation generalüberholt ab 389 € @Apple http://t.co/tOv1xKQ8,irrelevant,neutral,unpredcitable
1115,@HAZI クック@apple.com？,irrelevant,negative,unpredcitable
1116,@Le_M_Poireau Mais moi je voudrais pas que @apple donne mon fichier @LaLibreBe. Marre d'être spammée par les journaux désespérés.,irrelevant,negative,unpredcitable
1117,O #piratasdainformatica só não disse se o Bill Gates tbm é dono da @Apple,irrelevant,negative,unpredcitable
1118,"Né @Apple, vai trabalhar no iPhone5",irrelevant,negative,unpredcitable
1119,I guess I should go @hublot @apple and @ZegnaOfficial shopping next week. Birthdays only come once a year! Lol,irrelevant,negative,unpredcitable
1120,ASSISTINDO O FILME CHAPA!! PIRATAS DA INFORMÁTICA  ESSE FILME E FODA VIVA @APPLE,irrelevant,negative,unpredcitable
1121,Un abrazo a tod@s desde el @Apple Store en #NewYork. Es un honor sumarse a la gente que honra la memora y el #genio de #SteveJobs.,irrelevant,negative,unpredcitable
1122,iphone行列並んだー@apple store銀座 どのくらいかかるかね。16Gしかないそうです。,irrelevant,unpredcitable,unpredcitable
1123,New Arrivals and 70 percent off Clearance of Matching G http://t.co/qQcwyl4b@Lds @Scriptures @Apple @E @Book,irrelevant,negative,unpredcitable
1124,Today very cheap for Patio Furniture San Anton http://t.co/Sd3i1bjm@Plastic @Apple @Bags,irrelevant,negative,unpredcitable
1125,Causando na loja da @apple,irrelevant,negative,unpredcitable
1126,"Fico manso os preços desses IPHONEs,absurdos R$ 2.500! Assim não dá Fía @apple, Só se eu fizesse programa na Beira Mar :(",irrelevant,negative,unpredcitable
1127,Find more the best Angel Christmas Tree O http://t.co/d5G1rY5d@Starfrit @Apple @Peeler,irrelevant,positive,unpredcitable
1128,Find more the best Maytag Washer Control Board deal.Check pric http://t.co/SNdkAg3e@Best @Apple @Peeler,irrelevant,negative,unpredcitable
1129,Find more the best Cyst On Knee deal.Check price of best Cyst On Knee and offers now. http://t.co/qzYnNuvI@Automatic @Apple,irrelevant,positive,unpredcitable
1130,Do not check other site for Uhmw Conveyor.Now you go best site of Uhmw Conveyor. http://t.co/8RMV5D2q@9 @Pin @Cable @Apple,irrelevant,neutral,unpredcitable
1131,Do not check other site for Ed Hardy Black Long Sl http://t.co/hengQGqp@Unlocked @Apple @Touch @Phones,irrelevant,neutral,unpredcitable
1132,"RT @ThBenkoe: hey @apple! dass man selektiv keine einzelnen fotos (peinliche, überflüssige etc.) aus dem fotostream löschen kann, ist do ...",irrelevant,negative,unpredcitable
1133,Esperaba mas de &quot;IOS 5&quot; @Apple,irrelevant,neutral,unpredcitable
1134,Hello you are find Mesh Jacket Motorcycle? Our site have more Mesh http://t.co/tYg4Ualc@Ace @Hardware @Apple @Pee,irrelevant,unpredcitable,Q
1135,to reiniciando meu computador. ó as idéia @apple,irrelevant,negative,unpredcitable
1136,@chriswglowe @apple @gadgetlab you can tell me tonight ;-) cracking open the vodka tonight if you fancy ?,irrelevant,negative,unpredcitable
1137,Buy more products of Hemp Jewelry Instructions now.Free ship http://t.co/928bPS4t@Lehmans @Apple @Peeler,irrelevant,negative,unpredcitable
1138,@rogriffo VC Viu ontem A @Apple Estava dando IPhone 3 No Site dos estados Unidos,irrelevant,negative,unpredcitable
1139,Sabias que.... RT @MkDirecto Los usuarios del #iPad desayunan y cenan con la #tableta de @Apple: http://t.co/eYXCQQmK,irrelevant,neutral,unpredcitable
1140,Today very cheap for Hemp For Fuel.And Free shipping for Hemp For Fuel too. http://t.co/8gyJLbMW@Farberware @Apple @Peeler,irrelevant,negative,unpredcitable
1141,Discount Hemp Knots today.Cheap price too.Save money for best Hemp Knots. http://t.co/9H3jopLq@Avanti @Apple @Peeler,irrelevant,negative,unpredcitable
1142,Today very cheap for 2198597 Icemaker.And Free shipping for 2198597 Icemaker too. http://t.co/6CLkWAiO@French @Apple @Peeler,irrelevant,negative,unpredcitable
1143,"Took me months to decide, but tonight I have chosen #google over Amazon S3 for image storage solution.",positive,negative,unpredcitable
1144,RT @spacecanard Today's the Day. ICS &lt;3 #android #google #samsung,positive,neutral,unpredcitable
1145,"The new Nexus looks good! UI feel a bit confusing but I guess Android users are ok with that! Now, try it :) #Google #android #nexusprime",positive,negative,unpredcitable
1146,Very nice trivia game by #Google. Helps you use their search better http://t.co/ikN087ZE,positive,positive,unpredcitable
1147,Very nice trivia game by #Google. Helps you use their search better http://t.co/c5Tu3dZK #fb,positive,positive,unpredcitable
1148,Cant build a website. Get a #Google website #Free ! http://t.co/7qUy4uOU,positive,neutral,unpredcitable
1149,#Android ICS is looking pretty good. Not quite sure if its worth the 4.0 numbering leap. #google,positive,positive,unpredcitable
1150,@Tita_Ramos #Google it =),positive,neutral,unpredcitable
1151,RT @p1j Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/MTu7tGx7   #android #google #nexus #BigMAMA,positive,negative,unpredcitable
1152,"Me too RT @MohamedG: Exciting day, It's Ice cream Sandwich day ;) #Google #Android",positive,positive,unpredcitable
1153,WOW the new #Google #Nexus is just beautiful. totally gonna boost google's market share in the smart phone market.,positive,positive,unpredcitable
1154,"hahaha integrated data usage manager... in sucha brilliant way, sleek design, superb and I'm only watching videos LOL #Google",positive,positive,unpredcitable
1155,I fancy an Ice Cream Sandwich #google #android. Wonder it will works on my HTC Desire?,positive,positive,Q
1156,"Google Ice Cream Sandwich - sounds yummy!  What do you think? http://t.co/gMsgXcq8
#google #Android #ice cream sandwich",positive,neutral,Q
1157,#Google Me!!!!!!!!,positive,positive,unpredcitable
1158,"Exciting day, It's Ice cream Sandwich day ;) #Google #Android",positive,positive,unpredcitable
1159,Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/mSWX6Eo6   #android #google #nexus #BigMAMA,positive,negative,unpredcitable
1160,@Bla1ze I was referring to #Google & #Icecreamsandwich. It looks amazing. What imo android was missing. I ... http://t.co/rE4nLZgI,positive,negative,unpredcitable
1161,http://t.co/QV4m1Un9 Forget the phone.. Nice UI. Liking the Scroll Feature #android #google #nexus,positive,neutral,unpredcitable
1162,Simply Amazing! http://t.co/9qmG3irA #Google #Samsung #Galaxy #Nexus #Prime #Android4 #IceCreamSandwich,positive,neutral,unpredcitable
